"inchi","maccs_1","maccs_2","maccs_3","maccs_4","maccs_5","maccs_6","maccs_7","maccs_8","maccs_9","maccs_10","maccs_11","maccs_12","maccs_13","maccs_14","maccs_15","maccs_16","maccs_17","maccs_18","maccs_19","maccs_20","maccs_21","maccs_22","maccs_23","maccs_24","maccs_25","maccs_26","maccs_27","maccs_28","maccs_29","maccs_30","maccs_31","maccs_32","maccs_33","maccs_34","maccs_35","maccs_36","maccs_37","maccs_38","maccs_39","maccs_40","maccs_41","maccs_42","maccs_43","maccs_44","maccs_45","maccs_46","maccs_47","maccs_48","maccs_49","maccs_50","maccs_51","maccs_52","maccs_53","maccs_54","maccs_55","maccs_56","maccs_57","maccs_58","maccs_59","maccs_60","maccs_61","maccs_62","maccs_63","maccs_64","maccs_65","maccs_66","maccs_67","maccs_68","maccs_69","maccs_70","maccs_71","maccs_72","maccs_73","maccs_74","maccs_75","maccs_76","maccs_77","maccs_78","maccs_79","maccs_80","maccs_81","maccs_82","maccs_83","maccs_84","maccs_85","maccs_86","maccs_87","maccs_88","maccs_89","maccs_90","maccs_91","maccs_92","maccs_93","maccs_94","maccs_95","maccs_96","maccs_97","maccs_98","maccs_99","maccs_100","maccs_101","maccs_102","maccs_103","maccs_104","maccs_105","maccs_106","maccs_107","maccs_108","maccs_109","maccs_110","maccs_111","maccs_112","maccs_113","maccs_114","maccs_115","maccs_116","maccs_117","maccs_118","maccs_119","maccs_120","maccs_121","maccs_122","maccs_123","maccs_124","maccs_125","maccs_126","maccs_127","maccs_128","maccs_129","maccs_130","maccs_131","maccs_132","maccs_133","maccs_134","maccs_135","maccs_136","maccs_137","maccs_138","maccs_139","maccs_140","maccs_141","maccs_142","maccs_143","maccs_144","maccs_145","maccs_146","maccs_147","maccs_148","maccs_149","maccs_150","maccs_151","maccs_152","maccs_153","maccs_154","maccs_155","maccs_156","maccs_157"
"InChI=1S/C12H14N4O4S/c1-8(17)15-10-4-3-9(5-11(10)20-2)16-21(18,19)12-6-13-7-14-12/h3-7,16H,1-2H3,(H,13,14)(H,15,17)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,2,4,9,1,4,4,2,2,1,0,0,0,0,0,1,2,1,0,3,3,0,0,0,0,2,2,4,2,2,2,1,0,0,1,1,1,0,0,3,0,0,0,0,0,0,2,0,11,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-7-4-8(2)14-12(13-7)15-21(19,20)9-5-10(11(17)18)16(3)6-9/h4-6H,1-3H3,(H,17,18)(H,13,14,15)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,1,3,3,3,2,1,1,2,1,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,3,4,11,0,2,2,2,2,1,0,1,0,0,0,3,0,2,0,2,2,0,0,0,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-6-3-4-8(7(2)10(6)13)16-21(19,20)9-5-14-12(18)15-11(9)17/h3-5,16H,13H2,1-2H3,(H2,14,15,17,18)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,3,2,1,1,2,1,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,4,8,0,4,4,2,0,1,0,0,1,0,0,1,0,4,0,5,0,0,0,0,0,2,2,4,2,4,2,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,8,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,2,12,0,0,0,2,0,0,0,1,0,8,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-13-7-11(14-8)21(18,19)16-10-5-3-9(4-6-10)15-12(17)20-2/h3-7,16H,1-2H3,(H,13,14)(H,15,17)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,7,0,1,3,3,3,2,1,1,2,1,0,2,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,2,4,9,0,4,4,3,2,1,1,0,0,1,0,1,2,1,0,4,2,0,0,0,0,3,2,4,3,0,1,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-13-6-8-3-2-4-9(5-8)16-21(19,20)10-7-14-12(18)15-11(10)17/h2-5,7,13,16H,6H2,1H3,(H2,14,15,17,18)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,3,2,1,1,2,1,0,2,3,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,2,4,13,0,2,2,2,0,1,0,0,1,0,0,1,0,3,0,5,0,0,0,3,0,2,2,4,2,4,2,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,8,0,0,0,0,2,0,6,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,12,0,0,0,2,0,0,0,1,0,8,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-9(2)15-12(7-8-13-15)14-21(19,20)11-5-3-10(4-6-11)16(17)18/h3-9,14H,1-2H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,6,1,1,1,2,4,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,10,2,4,4,3,2,1,1,0,0,0,1,1,1,2,2,2,0,2,0,0,0,1,2,4,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-14-12(20-16-8)7-13-21(18,19)11-5-3-10(4-6-11)15-9(2)17/h3-6,13H,7H2,1-2H3,(H,15,17)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,5,0,1,3,3,4,1,1,1,2,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,3,4,10,1,2,2,1,0,1,1,0,0,0,0,1,2,1,1,4,2,0,0,3,3,1,2,4,2,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,3,0,1,11,6,0,0,0,0,3,0,6,3,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,11,0,0,1,1,0,0,0,0,0,6,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-7(8-3-2-4-9(13)5-8)16-21(19,20)10-6-14-12(18)15-11(10)17/h2-7,16H,13H2,1H3,(H2,14,15,17,18)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,3,2,1,1,2,1,0,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,4,10,0,2,2,2,0,1,0,0,1,0,0,1,0,3,0,5,0,0,0,0,0,2,2,4,2,4,2,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,12,0,0,0,2,0,0,0,1,0,8,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-15-8-10(11(17)16(2)12(15)18)21(19,20)14-7-9-3-5-13-6-4-9/h3-6,8,14H,7H2,1-2H3",1,2,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,0,3,3,3,2,1,1,2,1,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,3,4,17,0,0,0,3,4,1,0,0,1,0,0,1,0,3,0,5,0,0,0,3,0,1,3,4,4,4,0,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,10,0,0,0,0,3,0,6,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,2,0,0,0,2,0,10,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-9(2)13-15(3)12(8)14-21(19,20)11-6-4-10(5-7-11)16(17)18/h4-7,14H,1-3H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,6,1,1,1,2,4,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,10,2,4,4,3,2,1,1,0,0,0,1,1,1,2,2,2,0,2,0,0,0,1,2,4,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-2-20-12(17)10-11(13)16(7-15-10)8-3-5-9(6-4-8)21(14,18)19/h3-7H,2,13H2,1H3,(H2,14,18,19)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,2,4,7,0,2,4,3,2,1,1,0,0,0,0,2,2,1,0,2,2,0,0,0,0,2,2,4,3,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,11,5,0,0,0,0,2,0,6,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,11,0,0,1,1,0,0,0,0,1,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-10-13-6-8-15(10)9-7-14-21(19,20)12-4-2-11(3-5-12)16(17)18/h2-6,8,14H,7,9H2,1H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,5,1,1,1,2,3,1,4,6,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,9,3,2,4,13,2,2,2,3,2,1,1,0,0,0,0,1,2,0,2,2,0,2,0,6,5,1,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,12,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-13-6-8-4-2-3-5-9(8)16-21(19,20)10-7-14-12(18)15-11(10)17/h2-5,7,13,16H,6H2,1H3,(H2,14,15,17,18)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,3,2,1,1,2,1,0,2,3,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,2,4,13,0,2,2,2,0,1,0,0,1,0,0,1,0,4,0,5,0,0,0,3,0,2,2,4,2,4,2,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,8,0,0,0,0,2,0,6,3,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,12,0,0,0,2,0,0,0,1,0,8,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-15-8-10(11(17)16(2)12(15)18)21(19,20)14-7-9-4-3-5-13-6-9/h3-6,8,14H,7H2,1-2H3",1,2,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,0,3,3,3,2,1,1,2,1,0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,3,4,17,0,0,0,3,4,1,0,0,1,0,0,1,0,4,0,5,0,0,0,3,0,1,3,4,4,4,0,1,0,0,0,3,1,0,0,7,0,0,0,3,0,0,4,0,12,10,0,0,0,0,3,0,6,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,0,0,2,0,0,0,2,0,10,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-14-6-12(15-8)21(18,19)16-9-2-4-10(5-3-9)20-7-11(13)17/h2-6,16H,7H2,1H3,(H2,13,17)(H,14,15)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,4,8,1,2,2,2,2,1,1,0,0,0,0,1,2,1,0,3,3,0,0,0,3,3,2,4,2,2,2,1,0,0,1,1,1,0,0,2,0,0,1,0,3,3,2,0,11,9,0,0,0,1,2,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8(2)16-7-9(6-10(16)11(17)18)21(19,20)15-12-13-4-3-5-14-12/h3-8H,1-2H3,(H,17,18)(H,13,14,15)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,1,3,3,3,2,1,1,2,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,3,4,11,0,2,2,2,2,1,0,1,0,0,0,3,0,2,0,2,2,0,0,0,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-7-14-6-11(15-7)21(18,19)16-9-5-8(12(13)17)3-4-10(9)20-2/h3-6,16H,1-2H3,(H2,13,17)(H,14,15)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,4,8,1,2,2,2,2,1,1,0,0,0,0,1,2,1,0,3,3,0,0,0,0,3,2,4,2,2,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,2,0,11,9,0,0,0,1,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-3-16-7-11(14-8(16)2)21(19,20)15-10-6-13-5-4-9(10)12(17)18/h4-7,15H,3H2,1-2H3,(H,17,18)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,3,3,4,12,0,2,2,2,2,1,1,0,0,0,0,1,3,1,0,2,2,0,0,3,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,6,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-19-11-7-10(12(20-2)15-14-11)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,16)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,4,1,1,1,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,4,7,0,4,4,2,0,1,0,0,0,0,1,0,1,2,0,4,3,0,0,0,0,2,2,4,2,4,2,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,4,0,12,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,0,0,0,2,0,0,0,1,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-3-16-7-11(13-8(16)2)21(19,20)15-10-6-4-5-9(14-10)12(17)18/h4-7H,3H2,1-2H3,(H,14,15)(H,17,18)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,3,3,4,11,0,2,2,2,2,1,2,0,0,0,0,2,2,1,0,2,4,0,0,3,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,6,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-19-10-7-14-15-12(11(10)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,15,16)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,0,3,3,4,1,1,1,2,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,4,6,0,4,4,2,0,1,1,0,0,0,1,1,1,0,0,2,3,0,0,0,0,2,2,4,2,4,2,1,0,0,2,0,0,0,0,7,0,0,1,0,0,0,4,0,12,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12,0,0,0,2,0,0,0,1,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-13-4-3-9(15-8)6-14-21(19,20)10-5-11(12(17)18)16(2)7-10/h3-5,7,14H,6H2,1-2H3,(H,17,18)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,3,4,14,0,0,0,2,2,1,1,0,0,0,0,1,1,2,0,2,2,0,0,3,3,1,3,4,3,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,6,3,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-16(2)11-9(4-3-5-13-11)15-21(19,20)8-6-10(12(17)18)14-7-8/h3-7,14-15H,1-2H3,(H,17,18)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,3,1,1,1,2,1,0,2,0,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,2,4,14,0,4,4,3,2,1,1,0,0,0,0,1,2,1,0,2,2,0,0,0,0,2,2,4,3,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,2,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,1,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c13-10-7-11(17)15-12(18)16(10)6-5-8-1-3-9(4-2-8)21(14,19)20/h1-4,7H,5-6,13H2,(H2,14,19,20)(H,15,17,18)",1,2,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,0,3,3,3,2,1,1,2,1,0,2,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,3,3,9,0,0,9,0,2,4,9,0,2,2,3,2,1,1,0,1,0,0,2,0,3,0,5,0,0,0,3,3,2,2,4,3,4,1,1,0,0,0,3,1,0,0,4,0,0,0,1,0,0,4,0,12,10,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,12,0,0,0,2,0,0,0,1,0,10,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-2-12(15-8-7-13-9-15)14-21(19,20)11-6-4-3-5-10(11)16(17)18/h3-9,12,14H,2H2,1H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,5,1,1,1,2,3,1,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,4,11,2,2,2,3,2,1,1,0,0,0,0,2,1,2,2,2,0,2,0,0,6,1,2,4,4,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,6,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-15-9-8-13-12(15)6-7-14-21(19,20)11-5-3-2-4-10(11)16(17)18/h2-5,8-9,14H,6-7H2,1H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,7,0,1,3,3,5,1,1,1,2,3,1,4,3,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,9,0,0,9,3,2,4,13,2,2,2,3,2,1,1,0,0,0,0,1,1,3,2,2,0,2,0,3,9,1,2,4,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,12,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-7-14-12(5-16(7)2)21(17,18)15-9-4-11-10(3-8(9)13)19-6-20-11/h3-5,15H,6,13H2,1-2H3",1,1,4,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,7,0,2,3,3,3,1,1,1,2,1,0,2,5,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,0,0,0,4,4,11,0,4,4,3,2,1,1,0,0,0,0,1,3,1,0,2,2,0,0,0,0,2,2,4,2,4,0,1,0,0,2,0,0,1,0,4,0,0,1,0,5,0,0,2,11,9,0,0,0,0,4,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,14,0,0,2,1,0,0,0,0,0,6,2,0,0,0
"InChI=1S/C12H14N4O4S/c1-3-16-7-11(14-8(16)2)21(19,20)15-10-4-9(12(17)18)5-13-6-10/h4-7,15H,3H2,1-2H3,(H,17,18)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,3,3,4,12,0,2,2,2,2,1,1,0,0,0,0,1,3,1,0,2,2,0,0,3,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,11,7,0,0,0,0,3,0,6,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,7,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-3-11-13-8-12(14-11)21(19,20)15(2)9-4-6-10(7-5-9)16(17)18/h4-8H,3H2,1-2H3,(H,13,14)",1,1,4,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,7,0,1,3,3,5,1,0,1,2,3,1,4,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,4,11,2,4,4,3,2,1,1,0,0,0,0,1,2,1,2,2,2,2,0,0,6,1,2,4,4,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,11,9,0,0,0,0,2,0,6,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-8-14-6-12(15-8)21(18,19)16-9-3-2-4-10(5-9)20-7-11(13)17/h2-6,16H,7H2,1H3,(H2,13,17)(H,14,15)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,4,8,1,2,2,2,2,1,1,0,0,0,0,1,2,1,0,3,3,0,0,0,3,3,2,4,2,2,2,1,0,0,1,1,1,0,0,3,0,0,1,0,3,3,2,0,11,9,0,0,0,1,2,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-3-16-7-11(14-8(16)2)21(19,20)15-9-4-5-13-10(6-9)12(17)18/h4-7H,3H2,1-2H3,(H,13,15)(H,17,18)",1,1,4,0,0,0,0,1,1,2,2,2,4,0,1,0,2,0,0,0,6,0,1,3,3,3,1,0,1,2,1,0,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,3,3,4,12,1,2,2,2,4,1,1,0,0,0,0,1,2,3,0,2,4,0,0,3,0,1,3,4,3,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,11,9,0,0,0,0,3,0,6,0,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,11,0,0,1,1,0,0,0,1,0,9,0,0,0,0
"InChI=1S/C12H14N4O4S/c1-20-11-3-2-9(4-10(11)12(13)17)21(18,19)16-6-8-5-14-7-15-8/h2-5,7,16H,6H2,1H3,(H2,13,17)(H,14,15)",1,1,3,0,0,0,0,1,2,2,2,2,4,0,0,0,2,0,0,0,6,0,1,3,3,3,1,1,1,2,1,0,2,3,0,1,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,2,4,10,1,0,0,2,2,1,0,0,0,0,0,1,2,1,0,3,0,0,0,3,3,3,2,4,2,2,2,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,2,0,11,9,0,0,0,1,2,0,6,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,11,0,0,1,1,0,0,0,0,0,9,0,0,0,0
